Date,Close,High,Low,Open,Volume
01-02-2007,19.88,19.88,19.88,19.88,0
02-02-2007,20.1,20.1,20.1,20.1,0
05-02-2007,20.14,20.14,20.14,20.14,0
06-02-2007,19.7,19.7,19.7,19.7,0
07-02-2007,19.83,19.83,19.83,19.83,0
08-02-2007,20.63,20.63,20.63,20.63,0
09-02-2007,20.84,20.84,20.84,20.84,0
12-02-2007,20.93,20.93,20.93,20.93,0
13-02-2007,20.63,20.63,20.63,20.63,0
14-02-2007,20.22,20.22,20.22,20.22,0
15-02-2007,20.02,20.02,20.02,20.02,0
16-02-2007,19.98,19.98,19.98,19.98,0
19-02-2007,19.6,19.6,19.6,19.6,0
20-02-2007,19.4,19.4,19.4,19.4,0
21-02-2007,19.76,19.76,19.76,19.76,0
22-02-2007,19.43,19.43,19.43,19.43,0
23-02-2007,19.25,19.25,19.25,19.25,0
26-02-2007,19.01,19.01,19.01,19.01,0
27-02-2007,20.9,20.9,20.9,20.9,0
28-02-2007,21.6,21.6,21.6,21.6,0
01-03-2007,22.22,22.22,22.22,22.22,0
02-03-2007,22.75,22.75,22.75,22.75,0
05-03-2007,24.55,24.55,24.55,24.55,0
06-03-2007,24.05,24.05,24.05,24.05,0
07-03-2007,23.86,23.86,23.86,23.86,0
08-03-2007,23.16,23.16,23.16,23.16,0
09-03-2007,22.49,22.49,22.49,22.49,0
12-03-2007,21.65,21.65,21.65,21.65,0
13-03-2007,22.06,22.06,22.06,22.06,0
14-03-2007,23.78,23.78,23.78,23.78,0
15-03-2007,23.08,23.08,23.08,23.08,0
16-03-2007,22.54,22.54,22.54,22.54,0
19-03-2007,21.81,21.81,21.81,21.81,0
20-03-2007,21.52,21.52,21.52,21.52,0
22-03-2007,20.86,20.86,20.86,20.86,0
23-03-2007,20.13,20.13,20.13,20.13,0
26-03-2007,20.05,20.05,20.05,20.05,0
27-03-2007,20.21,20.21,20.21,20.21,0
28-03-2007,19.9,19.9,19.9,19.9,0
29-03-2007,19.37,19.37,19.37,19.37,0
30-03-2007,19.21,19.21,19.21,19.21,0
02-04-2007,19.01,19.01,19.01,19.01,0
03-04-2007,18.88,18.88,18.88,18.88,0
04-04-2007,18.66,18.66,18.66,18.66,0
05-04-2007,18.56,18.56,18.56,18.56,0
10-04-2007,18,18,18,18,0
11-04-2007,17.95,17.95,17.95,17.95,0
12-04-2007,17.46,17.46,17.46,17.46,0
13-04-2007,17.07,17.07,17.07,17.07,0
16-04-2007,16.76,16.76,16.76,16.76,0
17-04-2007,17.1,17.1,17.1,17.1,0
18-04-2007,17.47,17.47,17.47,17.47,0
19-04-2007,17.33,17.33,17.33,17.33,0
20-04-2007,16.9,16.9,16.9,16.9,0
23-04-2007,16.98,16.98,16.98,16.98,0
24-04-2007,17.07,17.07,17.07,17.07,0
25-04-2007,16.99,16.99,16.99,16.99,0
26-04-2007,17.14,17.14,17.14,17.14,0
30-04-2007,17.2,17.2,17.2,17.2,0
02-05-2007,16.85,16.85,16.85,16.85,0
03-05-2007,17.01,17.01,17.01,17.01,0
04-05-2007,16.46,16.46,16.46,16.46,0
07-05-2007,16.76,16.76,16.76,16.76,0
08-05-2007,18.08,18.08,18.08,18.08,0
09-05-2007,18.03,18.03,18.03,18.03,0
10-05-2007,18.19,18.19,18.19,18.19,0
11-05-2007,18.17,18.17,18.17,18.17,0
14-05-2007,19.05,19.05,19.05,19.05,0
15-05-2007,19.29,19.29,19.29,19.29,0
16-05-2007,19.3,19.3,19.3,19.3,0
17-05-2007,19.95,19.95,19.95,19.95,0
18-05-2007,19.8,19.8,19.8,19.8,0
21-05-2007,19.27,19.27,19.27,19.27,0
22-05-2007,19.19,19.19,19.19,19.19,0
23-05-2007,18.78,18.78,18.78,18.78,0
24-05-2007,19.1,19.1,19.1,19.1,0
25-05-2007,19.82,19.82,19.82,19.82,0
28-05-2007,19.61,19.61,19.61,19.61,0
29-05-2007,19.98,19.98,19.98,19.98,0
30-05-2007,20.24,20.24,20.24,20.24,0
31-05-2007,20.45,20.45,20.45,20.45,0
01-06-2007,20,20,20,20,0
04-06-2007,20.08,20.08,20.08,20.08,0
05-06-2007,20.13,20.13,20.13,20.13,0
06-06-2007,20.67,20.67,20.67,20.67,0
07-06-2007,20.81,20.81,20.81,20.81,0
08-06-2007,21.73,21.73,21.73,21.73,0
11-06-2007,21.28,21.28,21.28,21.28,0
12-06-2007,21.68,21.68,21.68,21.68,0
13-06-2007,21.46,21.46,21.46,21.46,0
14-06-2007,20.52,20.52,20.52,20.52,0
15-06-2007,20.07,20.07,20.07,20.07,0
18-06-2007,20.02,20.02,20.02,20.02,0
19-06-2007,20.44,20.44,20.44,20.44,0
20-06-2007,20.42,20.42,20.42,20.42,0
21-06-2007,20.63,20.63,20.63,20.63,0
22-06-2007,20.41,20.41,20.41,20.41,0
25-06-2007,20.87,20.87,20.87,20.87,0
26-06-2007,20.94,20.94,20.94,20.94,0
